"fips","state","age","est_date","population"
1,"ALABAMA",5,"2020-04-01",61522
1,"ALABAMA",6,"2020-04-01",60680
1,"ALABAMA",7,"2020-04-01",60205
1,"ALABAMA",8,"2020-04-01",61254
1,"ALABAMA",9,"2020-04-01",61780
1,"ALABAMA",10,"2020-04-01",63538
1,"ALABAMA",11,"2020-04-01",65968
1,"ALABAMA",12,"2020-04-01",67932
1,"ALABAMA",13,"2020-04-01",67048
1,"ALABAMA",14,"2020-04-01",65220
1,"ALABAMA",15,"2020-04-01",64551
1,"ALABAMA",16,"2020-04-01",65080
1,"ALABAMA",17,"2020-04-01",64450
2,"ALASKA",5,"2020-04-01",10352
2,"ALASKA",6,"2020-04-01",10319
2,"ALASKA",7,"2020-04-01",10308
2,"ALASKA",8,"2020-04-01",10396
2,"ALASKA",9,"2020-04-01",10388
2,"ALASKA",10,"2020-04-01",10292
2,"ALASKA",11,"2020-04-01",10406
2,"ALASKA",12,"2020-04-01",10408
2,"ALASKA",13,"2020-04-01",10157
2,"ALASKA",14,"2020-04-01",9729
2,"ALASKA",15,"2020-04-01",9773
2,"ALASKA",16,"2020-04-01",9609
2,"ALASKA",17,"2020-04-01",9537
4,"ARIZONA",5,"2020-04-01",88767
4,"ARIZONA",6,"2020-04-01",88472
4,"ARIZONA",7,"2020-04-01",88301
4,"ARIZONA",8,"2020-04-01",88476
4,"ARIZONA",9,"2020-04-01",89188
4,"ARIZONA",10,"2020-04-01",91892
4,"ARIZONA",11,"2020-04-01",95678
4,"ARIZONA",12,"2020-04-01",99470
4,"ARIZONA",13,"2020-04-01",98954
4,"ARIZONA",14,"2020-04-01",96059
4,"ARIZONA",15,"2020-04-01",94768
4,"ARIZONA",16,"2020-04-01",94507
4,"ARIZONA",17,"2020-04-01",92018
5,"ARKANSAS",5,"2020-04-01",38630
5,"ARKANSAS",6,"2020-04-01",38044
5,"ARKANSAS",7,"2020-04-01",38005
5,"ARKANSAS",8,"2020-04-01",38647
5,"ARKANSAS",9,"2020-04-01",38747
5,"ARKANSAS",10,"2020-04-01",39906
5,"ARKANSAS",11,"2020-04-01",41101
5,"ARKANSAS",12,"2020-04-01",42597
5,"ARKANSAS",13,"2020-04-01",42562
5,"ARKANSAS",14,"2020-04-01",41137
5,"ARKANSAS",15,"2020-04-01",40638
5,"ARKANSAS",16,"2020-04-01",40738
5,"ARKANSAS",17,"2020-04-01",40220
6,"CALIFORNIA",5,"2020-04-01",495278
6,"CALIFORNIA",6,"2020-04-01",490958
6,"CALIFORNIA",7,"2020-04-01",494655
6,"CALIFORNIA",8,"2020-04-01",496041
6,"CALIFORNIA",9,"2020-04-01",503104
6,"CALIFORNIA",10,"2020-04-01",506920
6,"CALIFORNIA",11,"2020-04-01",519686
6,"CALIFORNIA",12,"2020-04-01",539024
6,"CALIFORNIA",13,"2020-04-01",535111
6,"CALIFORNIA",14,"2020-04-01",522001
6,"CALIFORNIA",15,"2020-04-01",517256
6,"CALIFORNIA",16,"2020-04-01",518398
6,"CALIFORNIA",17,"2020-04-01",512805
8,"COLORADO",5,"2020-04-01",68376
8,"COLORADO",6,"2020-04-01",67991
8,"COLORADO",7,"2020-04-01",67893
8,"COLORADO",8,"2020-04-01",69049
8,"COLORADO",9,"2020-04-01",70541
8,"COLORADO",10,"2020-04-01",72845
8,"COLORADO",11,"2020-04-01",74414
8,"COLORADO",12,"2020-04-01",76259
8,"COLORADO",13,"2020-04-01",76288
8,"COLORADO",14,"2020-04-01",74775
8,"COLORADO",15,"2020-04-01",74363
8,"COLORADO",16,"2020-04-01",75007
8,"COLORADO",17,"2020-04-01",73438
9,"CONNECTICUT",5,"2020-04-01",38627
9,"CONNECTICUT",6,"2020-04-01",38558
9,"CONNECTICUT",7,"2020-04-01",39009
9,"CONNECTICUT",8,"2020-04-01",39718
9,"CONNECTICUT",9,"2020-04-01",40679
9,"CONNECTICUT",10,"2020-04-01",41957
9,"CONNECTICUT",11,"2020-04-01",43671
9,"CONNECTICUT",12,"2020-04-01",45389
9,"CONNECTICUT",13,"2020-04-01",45884
9,"CONNECTICUT",14,"2020-04-01",45903
9,"CONNECTICUT",15,"2020-04-01",46315
9,"CONNECTICUT",16,"2020-04-01",47167
9,"CONNECTICUT",17,"2020-04-01",47148
10,"DELAWARE",5,"2020-04-01",11272
10,"DELAWARE",6,"2020-04-01",11257
10,"DELAWARE",7,"2020-04-01",11260
10,"DELAWARE",8,"2020-04-01",11622
10,"DELAWARE",9,"2020-04-01",11689
10,"DELAWARE",10,"2020-04-01",11840
10,"DELAWARE",11,"2020-04-01",12125
10,"DELAWARE",12,"2020-04-01",12398
10,"DELAWARE",13,"2020-04-01",12295
10,"DELAWARE",14,"2020-04-01",12105
10,"DELAWARE",15,"2020-04-01",12036
10,"DELAWARE",16,"2020-04-01",12143
10,"DELAWARE",17,"2020-04-01",12063
11,"DISTRICT OF COLUMBIA",5,"2020-04-01",8157
11,"DISTRICT OF COLUMBIA",6,"2020-04-01",7617
11,"DISTRICT OF COLUMBIA",7,"2020-04-01",7677
11,"DISTRICT OF COLUMBIA",8,"2020-04-01",7462
11,"DISTRICT OF COLUMBIA",9,"2020-04-01",7014
11,"DISTRICT OF COLUMBIA",10,"2020-04-01",6578
11,"DISTRICT OF COLUMBIA",11,"2020-04-01",6321
11,"DISTRICT OF COLUMBIA",12,"2020-04-01",6186
11,"DISTRICT OF COLUMBIA",13,"2020-04-01",5909
11,"DISTRICT OF COLUMBIA",14,"2020-04-01",5438
11,"DISTRICT OF COLUMBIA",15,"2020-04-01",5157
11,"DISTRICT OF COLUMBIA",16,"2020-04-01",5100
11,"DISTRICT OF COLUMBIA",17,"2020-04-01",5119
12,"FLORIDA",5,"2020-04-01",233966
12,"FLORIDA",6,"2020-04-01",233369
12,"FLORIDA",7,"2020-04-01",232150
12,"FLORIDA",8,"2020-04-01",234793
12,"FLORIDA",9,"2020-04-01",236192
12,"FLORIDA",10,"2020-04-01",240682
12,"FLORIDA",11,"2020-04-01",247672
12,"FLORIDA",12,"2020-04-01",257039
12,"FLORIDA",13,"2020-04-01",256840
12,"FLORIDA",14,"2020-04-01",251515
12,"FLORIDA",15,"2020-04-01",247694
12,"FLORIDA",16,"2020-04-01",247229
12,"FLORIDA",17,"2020-04-01",242444
13,"GEORGIA",5,"2020-04-01",136687
13,"GEORGIA",6,"2020-04-01",135466
13,"GEORGIA",7,"2020-04-01",136160
13,"GEORGIA",8,"2020-04-01",138992
13,"GEORGIA",9,"2020-04-01",140417
13,"GEORGIA",10,"2020-04-01",144559
13,"GEORGIA",11,"2020-04-01",149685
13,"GEORGIA",12,"2020-04-01",155555
13,"GEORGIA",13,"2020-04-01",155218
13,"GEORGIA",14,"2020-04-01",151936
13,"GEORGIA",15,"2020-04-01",149493
13,"GEORGIA",16,"2020-04-01",150477
13,"GEORGIA",17,"2020-04-01",148100
15,"HAWAII",5,"2020-04-01",18062
15,"HAWAII",6,"2020-04-01",18181
15,"HAWAII",7,"2020-04-01",18493
15,"HAWAII",8,"2020-04-01",18095
15,"HAWAII",9,"2020-04-01",17870
15,"HAWAII",10,"2020-04-01",17097
15,"HAWAII",11,"2020-04-01",17107
15,"HAWAII",12,"2020-04-01",17422
15,"HAWAII",13,"2020-04-01",16782
15,"HAWAII",14,"2020-04-01",16274
15,"HAWAII",15,"2020-04-01",16251
15,"HAWAII",16,"2020-04-01",16357
15,"HAWAII",17,"2020-04-01",15891
16,"IDAHO",5,"2020-04-01",25154
16,"IDAHO",6,"2020-04-01",24811
16,"IDAHO",7,"2020-04-01",25143
16,"IDAHO",8,"2020-04-01",25139
16,"IDAHO",9,"2020-04-01",25765
16,"IDAHO",10,"2020-04-01",26833
16,"IDAHO",11,"2020-04-01",27662
16,"IDAHO",12,"2020-04-01",28602
16,"IDAHO",13,"2020-04-01",28514
16,"IDAHO",14,"2020-04-01",27698
16,"IDAHO",15,"2020-04-01",27563
16,"IDAHO",16,"2020-04-01",27484
16,"IDAHO",17,"2020-04-01",26531
17,"ILLINOIS",5,"2020-04-01",155805
17,"ILLINOIS",6,"2020-04-01",153053
17,"ILLINOIS",7,"2020-04-01",153828
17,"ILLINOIS",8,"2020-04-01",155602
17,"ILLINOIS",9,"2020-04-01",157951
17,"ILLINOIS",10,"2020-04-01",162738
17,"ILLINOIS",11,"2020-04-01",166825
17,"ILLINOIS",12,"2020-04-01",172222
17,"ILLINOIS",13,"2020-04-01",172456
17,"ILLINOIS",14,"2020-04-01",169821
17,"ILLINOIS",15,"2020-04-01",169751
17,"ILLINOIS",16,"2020-04-01",172735
17,"ILLINOIS",17,"2020-04-01",170415
18,"INDIANA",5,"2020-04-01",87295
18,"INDIANA",6,"2020-04-01",86646
18,"INDIANA",7,"2020-04-01",87109
18,"INDIANA",8,"2020-04-01",87142
18,"INDIANA",9,"2020-04-01",87506
18,"INDIANA",10,"2020-04-01",90126
18,"INDIANA",11,"2020-04-01",92584
18,"INDIANA",12,"2020-04-01",95438
18,"INDIANA",13,"2020-04-01",95031
18,"INDIANA",14,"2020-04-01",93112
18,"INDIANA",15,"2020-04-01",92358
18,"INDIANA",16,"2020-04-01",93818
18,"INDIANA",17,"2020-04-01",92299
19,"IOWA",5,"2020-04-01",40954
19,"IOWA",6,"2020-04-01",40607
19,"IOWA",7,"2020-04-01",40409
19,"IOWA",8,"2020-04-01",40037
19,"IOWA",9,"2020-04-01",40140
19,"IOWA",10,"2020-04-01",42316
19,"IOWA",11,"2020-04-01",43672
19,"IOWA",12,"2020-04-01",44818
19,"IOWA",13,"2020-04-01",44678
19,"IOWA",14,"2020-04-01",43377
19,"IOWA",15,"2020-04-01",42613
19,"IOWA",16,"2020-04-01",42887
19,"IOWA",17,"2020-04-01",42248
20,"KANSAS",5,"2020-04-01",38829
20,"KANSAS",6,"2020-04-01",39014
20,"KANSAS",7,"2020-04-01",39248
20,"KANSAS",8,"2020-04-01",39384
20,"KANSAS",9,"2020-04-01",39929
20,"KANSAS",10,"2020-04-01",41211
20,"KANSAS",11,"2020-04-01",41830
20,"KANSAS",12,"2020-04-01",42752
20,"KANSAS",13,"2020-04-01",42427
20,"KANSAS",14,"2020-04-01",41420
20,"KANSAS",15,"2020-04-01",40783
20,"KANSAS",16,"2020-04-01",41334
20,"KANSAS",17,"2020-04-01",40826
21,"KENTUCKY",5,"2020-04-01",56067
21,"KENTUCKY",6,"2020-04-01",55921
21,"KENTUCKY",7,"2020-04-01",55994
21,"KENTUCKY",8,"2020-04-01",55568
21,"KENTUCKY",9,"2020-04-01",55585
21,"KENTUCKY",10,"2020-04-01",57014
21,"KENTUCKY",11,"2020-04-01",59079
21,"KENTUCKY",12,"2020-04-01",60590
21,"KENTUCKY",13,"2020-04-01",60590
21,"KENTUCKY",14,"2020-04-01",58959
21,"KENTUCKY",15,"2020-04-01",58635
21,"KENTUCKY",16,"2020-04-01",59089
21,"KENTUCKY",17,"2020-04-01",58324
22,"LOUISIANA",5,"2020-04-01",61562
22,"LOUISIANA",6,"2020-04-01",61040
22,"LOUISIANA",7,"2020-04-01",59831
22,"LOUISIANA",8,"2020-04-01",59686
22,"LOUISIANA",9,"2020-04-01",60018
22,"LOUISIANA",10,"2020-04-01",61435
22,"LOUISIANA",11,"2020-04-01",63685
22,"LOUISIANA",12,"2020-04-01",65602
22,"LOUISIANA",13,"2020-04-01",64929
22,"LOUISIANA",14,"2020-04-01",62412
22,"LOUISIANA",15,"2020-04-01",61347
22,"LOUISIANA",16,"2020-04-01",61254
22,"LOUISIANA",17,"2020-04-01",60555
23,"MAINE",5,"2020-04-01",13485
23,"MAINE",6,"2020-04-01",13552
23,"MAINE",7,"2020-04-01",13595
23,"MAINE",8,"2020-04-01",13595
23,"MAINE",9,"2020-04-01",13760
23,"MAINE",10,"2020-04-01",14534
23,"MAINE",11,"2020-04-01",14891
23,"MAINE",12,"2020-04-01",15439
23,"MAINE",13,"2020-04-01",15510
23,"MAINE",14,"2020-04-01",15408
23,"MAINE",15,"2020-04-01",15444
23,"MAINE",16,"2020-04-01",15854
23,"MAINE",17,"2020-04-01",15794
24,"MARYLAND",5,"2020-04-01",75699
24,"MARYLAND",6,"2020-04-01",74775
24,"MARYLAND",7,"2020-04-01",75064
24,"MARYLAND",8,"2020-04-01",76090
24,"MARYLAND",9,"2020-04-01",76971
24,"MARYLAND",10,"2020-04-01",78291
24,"MARYLAND",11,"2020-04-01",79595
24,"MARYLAND",12,"2020-04-01",82206
24,"MARYLAND",13,"2020-04-01",81303
24,"MARYLAND",14,"2020-04-01",79205
24,"MARYLAND",15,"2020-04-01",78482
24,"MARYLAND",16,"2020-04-01",79043
24,"MARYLAND",17,"2020-04-01",78095
25,"MASSACHUSETTS",5,"2020-04-01",74353
25,"MASSACHUSETTS",6,"2020-04-01",74208
25,"MASSACHUSETTS",7,"2020-04-01",74932
25,"MASSACHUSETTS",8,"2020-04-01",75606
25,"MASSACHUSETTS",9,"2020-04-01",76522
25,"MASSACHUSETTS",10,"2020-04-01",77648
25,"MASSACHUSETTS",11,"2020-04-01",79605
25,"MASSACHUSETTS",12,"2020-04-01",82226
25,"MASSACHUSETTS",13,"2020-04-01",82391
25,"MASSACHUSETTS",14,"2020-04-01",81799
25,"MASSACHUSETTS",15,"2020-04-01",82718
25,"MASSACHUSETTS",16,"2020-04-01",85359
25,"MASSACHUSETTS",17,"2020-04-01",85784
26,"MICHIGAN",5,"2020-04-01",118300
26,"MICHIGAN",6,"2020-04-01",117996
26,"MICHIGAN",7,"2020-04-01",117557
26,"MICHIGAN",8,"2020-04-01",118274
26,"MICHIGAN",9,"2020-04-01",119255
26,"MICHIGAN",10,"2020-04-01",122867
26,"MICHIGAN",11,"2020-04-01",125740
26,"MICHIGAN",12,"2020-04-01",129529
26,"MICHIGAN",13,"2020-04-01",130352
26,"MICHIGAN",14,"2020-04-01",128725
26,"MICHIGAN",15,"2020-04-01",129089
26,"MICHIGAN",16,"2020-04-01",131942
26,"MICHIGAN",17,"2020-04-01",130535
27,"MINNESOTA",5,"2020-04-01",73704
27,"MINNESOTA",6,"2020-04-01",73466
27,"MINNESOTA",7,"2020-04-01",73158
27,"MINNESOTA",8,"2020-04-01",72982
27,"MINNESOTA",9,"2020-04-01",73186
27,"MINNESOTA",10,"2020-04-01",75600
27,"MINNESOTA",11,"2020-04-01",77250
27,"MINNESOTA",12,"2020-04-01",79288
27,"MINNESOTA",13,"2020-04-01",78766
27,"MINNESOTA",14,"2020-04-01",76963
27,"MINNESOTA",15,"2020-04-01",76445
27,"MINNESOTA",16,"2020-04-01",77240
27,"MINNESOTA",17,"2020-04-01",74953
28,"MISSISSIPPI",5,"2020-04-01",37234
28,"MISSISSIPPI",6,"2020-04-01",37051
28,"MISSISSIPPI",7,"2020-04-01",37107
28,"MISSISSIPPI",8,"2020-04-01",37854
28,"MISSISSIPPI",9,"2020-04-01",38127
28,"MISSISSIPPI",10,"2020-04-01",39746
28,"MISSISSIPPI",11,"2020-04-01",42124
28,"MISSISSIPPI",12,"2020-04-01",43857
28,"MISSISSIPPI",13,"2020-04-01",44099
28,"MISSISSIPPI",14,"2020-04-01",41919
28,"MISSISSIPPI",15,"2020-04-01",40980
28,"MISSISSIPPI",16,"2020-04-01",41154
28,"MISSISSIPPI",17,"2020-04-01",40250
29,"MISSOURI",5,"2020-04-01",76041
29,"MISSOURI",6,"2020-04-01",75703
29,"MISSOURI",7,"2020-04-01",75341
29,"MISSOURI",8,"2020-04-01",75826
29,"MISSOURI",9,"2020-04-01",76529
29,"MISSOURI",10,"2020-04-01",78326
29,"MISSOURI",11,"2020-04-01",80745
29,"MISSOURI",12,"2020-04-01",83219
29,"MISSOURI",13,"2020-04-01",82707
29,"MISSOURI",14,"2020-04-01",81236
29,"MISSOURI",15,"2020-04-01",80003
29,"MISSOURI",16,"2020-04-01",80737
29,"MISSOURI",17,"2020-04-01",79295
30,"MONTANA",5,"2020-04-01",13131
30,"MONTANA",6,"2020-04-01",12973
30,"MONTANA",7,"2020-04-01",12943
30,"MONTANA",8,"2020-04-01",12979
30,"MONTANA",9,"2020-04-01",12995
30,"MONTANA",10,"2020-04-01",13333
30,"MONTANA",11,"2020-04-01",13794
30,"MONTANA",12,"2020-04-01",14215
30,"MONTANA",13,"2020-04-01",14076
30,"MONTANA",14,"2020-04-01",13546
30,"MONTANA",15,"2020-04-01",13264
30,"MONTANA",16,"2020-04-01",13523
30,"MONTANA",17,"2020-04-01",13104
31,"NEBRASKA",5,"2020-04-01",27454
31,"NEBRASKA",6,"2020-04-01",27070
31,"NEBRASKA",7,"2020-04-01",26749
31,"NEBRASKA",8,"2020-04-01",26585
31,"NEBRASKA",9,"2020-04-01",26705
31,"NEBRASKA",10,"2020-04-01",27616
31,"NEBRASKA",11,"2020-04-01",28375
31,"NEBRASKA",12,"2020-04-01",28714
31,"NEBRASKA",13,"2020-04-01",28299
31,"NEBRASKA",14,"2020-04-01",27800
31,"NEBRASKA",15,"2020-04-01",27570
31,"NEBRASKA",16,"2020-04-01",27610
31,"NEBRASKA",17,"2020-04-01",27084
32,"NEVADA",5,"2020-04-01",38696
32,"NEVADA",6,"2020-04-01",38116
32,"NEVADA",7,"2020-04-01",38502
32,"NEVADA",8,"2020-04-01",38413
32,"NEVADA",9,"2020-04-01",39493
32,"NEVADA",10,"2020-04-01",40115
32,"NEVADA",11,"2020-04-01",41198
32,"NEVADA",12,"2020-04-01",42841
32,"NEVADA",13,"2020-04-01",42215
32,"NEVADA",14,"2020-04-01",40762
32,"NEVADA",15,"2020-04-01",39894
32,"NEVADA",16,"2020-04-01",39639
32,"NEVADA",17,"2020-04-01",38996
33,"NEW HAMPSHIRE",5,"2020-04-01",13523
33,"NEW HAMPSHIRE",6,"2020-04-01",13558
33,"NEW HAMPSHIRE",7,"2020-04-01",13898
33,"NEW HAMPSHIRE",8,"2020-04-01",13895
33,"NEW HAMPSHIRE",9,"2020-04-01",14406
33,"NEW HAMPSHIRE",10,"2020-04-01",14667
33,"NEW HAMPSHIRE",11,"2020-04-01",15217
33,"NEW HAMPSHIRE",12,"2020-04-01",15724
33,"NEW HAMPSHIRE",13,"2020-04-01",16031
33,"NEW HAMPSHIRE",14,"2020-04-01",15970
33,"NEW HAMPSHIRE",15,"2020-04-01",16175
33,"NEW HAMPSHIRE",16,"2020-04-01",16634
33,"NEW HAMPSHIRE",17,"2020-04-01",16659
34,"NEW JERSEY",5,"2020-04-01",110317
34,"NEW JERSEY",6,"2020-04-01",109785
34,"NEW JERSEY",7,"2020-04-01",110717
34,"NEW JERSEY",8,"2020-04-01",112022
34,"NEW JERSEY",9,"2020-04-01",113718
34,"NEW JERSEY",10,"2020-04-01",115619
34,"NEW JERSEY",11,"2020-04-01",118191
34,"NEW JERSEY",12,"2020-04-01",122025
34,"NEW JERSEY",13,"2020-04-01",121921
34,"NEW JERSEY",14,"2020-04-01",120222
34,"NEW JERSEY",15,"2020-04-01",120191
34,"NEW JERSEY",16,"2020-04-01",122283
34,"NEW JERSEY",17,"2020-04-01",120959
35,"NEW MEXICO",5,"2020-04-01",25946
35,"NEW MEXICO",6,"2020-04-01",26189
35,"NEW MEXICO",7,"2020-04-01",26412
35,"NEW MEXICO",8,"2020-04-01",26749
35,"NEW MEXICO",9,"2020-04-01",27339
35,"NEW MEXICO",10,"2020-04-01",28248
35,"NEW MEXICO",11,"2020-04-01",29098
35,"NEW MEXICO",12,"2020-04-01",29847
35,"NEW MEXICO",13,"2020-04-01",29664
35,"NEW MEXICO",14,"2020-04-01",28824
35,"NEW MEXICO",15,"2020-04-01",28583
35,"NEW MEXICO",16,"2020-04-01",28621
35,"NEW MEXICO",17,"2020-04-01",28652
36,"NEW YORK",5,"2020-04-01",234317
36,"NEW YORK",6,"2020-04-01",230554
36,"NEW YORK",7,"2020-04-01",232417
36,"NEW YORK",8,"2020-04-01",232992
36,"NEW YORK",9,"2020-04-01",233941
36,"NEW YORK",10,"2020-04-01",233619
36,"NEW YORK",11,"2020-04-01",234913
36,"NEW YORK",12,"2020-04-01",241027
36,"NEW YORK",13,"2020-04-01",240249
36,"NEW YORK",14,"2020-04-01",236704
36,"NEW YORK",15,"2020-04-01",238245
36,"NEW YORK",16,"2020-04-01",243189
36,"NEW YORK",17,"2020-04-01",242276
37,"NORTH CAROLINA",5,"2020-04-01",124095
37,"NORTH CAROLINA",6,"2020-04-01",123812
37,"NORTH CAROLINA",7,"2020-04-01",123871
37,"NORTH CAROLINA",8,"2020-04-01",125100
37,"NORTH CAROLINA",9,"2020-04-01",126428
37,"NORTH CAROLINA",10,"2020-04-01",131648
37,"NORTH CAROLINA",11,"2020-04-01",136112
37,"NORTH CAROLINA",12,"2020-04-01",140290
37,"NORTH CAROLINA",13,"2020-04-01",139754
37,"NORTH CAROLINA",14,"2020-04-01",136395
37,"NORTH CAROLINA",15,"2020-04-01",134611
37,"NORTH CAROLINA",16,"2020-04-01",135393
37,"NORTH CAROLINA",17,"2020-04-01",133838
38,"NORTH DAKOTA",5,"2020-04-01",11050
38,"NORTH DAKOTA",6,"2020-04-01",10750
38,"NORTH DAKOTA",7,"2020-04-01",10516
38,"NORTH DAKOTA",8,"2020-04-01",10351
38,"NORTH DAKOTA",9,"2020-04-01",10111
38,"NORTH DAKOTA",10,"2020-04-01",10402
38,"NORTH DAKOTA",11,"2020-04-01",10549
38,"NORTH DAKOTA",12,"2020-04-01",10573
38,"NORTH DAKOTA",13,"2020-04-01",10422
38,"NORTH DAKOTA",14,"2020-04-01",10053
38,"NORTH DAKOTA",15,"2020-04-01",9701
38,"NORTH DAKOTA",16,"2020-04-01",9519
38,"NORTH DAKOTA",17,"2020-04-01",9138
39,"OHIO",5,"2020-04-01",143839
39,"OHIO",6,"2020-04-01",143589
39,"OHIO",7,"2020-04-01",143517
39,"OHIO",8,"2020-04-01",142711
39,"OHIO",9,"2020-04-01",142975
39,"OHIO",10,"2020-04-01",147441
39,"OHIO",11,"2020-04-01",151865
39,"OHIO",12,"2020-04-01",155666
39,"OHIO",13,"2020-04-01",156158
39,"OHIO",14,"2020-04-01",153641
39,"OHIO",15,"2020-04-01",152286
39,"OHIO",16,"2020-04-01",155083
39,"OHIO",17,"2020-04-01",153446
40,"OKLAHOMA",5,"2020-04-01",53270
40,"OKLAHOMA",6,"2020-04-01",53524
40,"OKLAHOMA",7,"2020-04-01",53736
40,"OKLAHOMA",8,"2020-04-01",53517
40,"OKLAHOMA",9,"2020-04-01",53797
40,"OKLAHOMA",10,"2020-04-01",54873
40,"OKLAHOMA",11,"2020-04-01",56176
40,"OKLAHOMA",12,"2020-04-01",57287
40,"OKLAHOMA",13,"2020-04-01",56935
40,"OKLAHOMA",14,"2020-04-01",54914
40,"OKLAHOMA",15,"2020-04-01",54304
40,"OKLAHOMA",16,"2020-04-01",54564
40,"OKLAHOMA",17,"2020-04-01",53777
41,"OREGON",5,"2020-04-01",48101
41,"OREGON",6,"2020-04-01",48179
41,"OREGON",7,"2020-04-01",48121
41,"OREGON",8,"2020-04-01",48527
41,"OREGON",9,"2020-04-01",49273
41,"OREGON",10,"2020-04-01",50613
41,"OREGON",11,"2020-04-01",51748
41,"OREGON",12,"2020-04-01",53292
41,"OREGON",13,"2020-04-01",52721
41,"OREGON",14,"2020-04-01",51120
41,"OREGON",15,"2020-04-01",50320
41,"OREGON",16,"2020-04-01",51001
41,"OREGON",17,"2020-04-01",50180
42,"PENNSYLVANIA",5,"2020-04-01",146956
42,"PENNSYLVANIA",6,"2020-04-01",147037
42,"PENNSYLVANIA",7,"2020-04-01",147278
42,"PENNSYLVANIA",8,"2020-04-01",148037
42,"PENNSYLVANIA",9,"2020-04-01",149017
